Question,Category,Question,UA Average Response,UA Strongly Disagree,UA Disagree,UA Undecided,UA Agree,UA Strongly Agree,SUG Average Response,SUG Strongly Disagree,SUG Disagree,SUG Undecided,SUG Agree,SUG Strongly Agree
1,Job Satisfaction/Support,My job makes good use of my skills and abilities.,4.01,30%,40%,18%,40%,35%,4.12,20%,40%,16%,37%,42%
2,Job Satisfaction/Support,I am given the responsibility and freedom to do my job.,4.09,20%,40%,16%,38%,40%,4.25,20%,30%,13%,35%,48%
3,Supervisors/Department Chairs,My supervisor/department chair makes his/her expectations clear.,3.92,50%,60%,19%,36%,35%,3.96,40%,60%,18%,37%,36%
4,Job Satisfaction/Support,I am provided the resources I need to be effective in my job.,3.81,30%,70%,23%,39%,28%,3.74,40%,70%,26%,37%,26%
5,Pride,I understand how my job contributes to this institution's mission.,4.32,10%,20%,80%,42%,47%,4.34,10%,20%,80%,40%,49%
6,Professional Development,I am given the opportunity to develop my skills at this institution.,3.88,40%,60%,21%,38%,32%,3.97,30%,60%,18%,38%,36%
7,Supervisors/Department Chairs,I receive feedback from my supervisor/department chair that helps me.,3.76,60%,80%,21%,36%,30%,3.8,50%,80%,21%,36%,31%
8,Communication,"When I offer a new idea, I believe it will be fully considered.",3.56,70%,10%,27%,31%,25%,3.73,50%,80%,24%,34%,29%
9,Respect & Appreciation,I am regularly recognized for my contributions.,3.34,10%,14%,28%,30%,19%,3.51,70%,12%,26%,33%,22%
10,Professional Development,I understand the necessary requirements to advance my career.,3.64,70%,10%,20%,39%,24%,3.7,50%,10%,20%,38%,26%
11,"Compensation, Benefits & Work/Life Balance",I am paid fairly for my work.,3.15,14%,19%,21%,32%,14%,3.16,12%,19%,24%,33%,13%
12,Supervisors/Department Chairs,I believe what I am told by my supervisor/department chair.,3.85,50%,50%,22%,37%,31%,3.91,40%,50%,20%,38%,33%
13,Collaboration,We have opportunities to contribute to important decisions in my department.,3.49,80%,12%,26%,32%,22%,3.64,60%,10%,25%,35%,25%
14,Fairness,I can speak up or challenge a traditional way of doing something without fear of harming my career.,3.43,90%,13%,24%,33%,21%,3.62,70%,90%,22%,37%,25%
15,Supervisors/Department Chairs,My supervisor/department chair regularly models this institution's values.,3.91,40%,50%,18%,40%,33%,3.96,40%,50%,17%,41%,34%
16,Fairness,Promotions in my department are based on a person's ability.,3.22,14%,13%,27%,31%,16%,3.39,11%,12%,26%,33%,19%
